               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.022069,           0.0096757,                   0,             0.99861,                   1,               0.995,             0.88052,           0.0073648,           0.0022594,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.019736,           0.0092731,                   0,             0.99801,                   1,               0.995,             0.88651,           0.0084968,           0.0022648,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018034,           0.0090857,                   0,             0.99551,                   1,               0.995,              0.8591,           0.0080043,           0.0021798,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020186,           0.0091135,                   0,                   1,             0.97245,              0.9945,             0.83228,           0.0083109,           0.0028931,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.017576,           0.0091511,                   0,              0.9732,                   1,             0.99325,             0.90045,           0.0081697,           0.0025585,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.018455,           0.0092383,                   0,             0.97348,                   1,             0.99375,             0.88212,           0.0081362,           0.0022693,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018368,           0.0091451,                   0,             0.97495,             0.99818,             0.99375,             0.90124,             0.00763,           0.0022986,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017859,            0.008989,                   0,             0.92628,              0.9667,             0.98398,             0.85318,           0.0075473,           0.0026051,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.019854,           0.0091772,                   0,             0.99674,             0.97436,              0.9945,             0.88936,           0.0067699,           0.0020686,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.01853,           0.0088413,                   0,             0.97492,             0.99668,              0.9945,              0.8971,           0.0064842,           0.0021167,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.019224,           0.0088496,                   0,                   1,             0.97346,              0.9945,             0.89979,           0.0066949,           0.0022447,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.017872,           0.0085747,                   0,                   1,             0.99792,               0.995,             0.90062,           0.0096174,           0.0022122,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019296,           0.0092561,                   0,                   1,             0.99181,               0.995,             0.90235,            0.006851,           0.0022191,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.01765,           0.0086549,                   0,             0.99541,                   1,               0.995,             0.91904,           0.0069138,           0.0021197,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019384,           0.0085712,                   0,                   1,             0.99926,               0.995,             0.88407,           0.0069119,           0.0023224,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.017766,           0.0081881,                   0,             0.99708,                   1,               0.995,             0.92156,           0.0063457,           0.0021291,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019079,           0.0083575,                   0,             0.99669,                   1,               0.995,              0.8798,           0.0062605,           0.0022559,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.01739,           0.0085696,                   0,             0.99646,                   1,               0.995,             0.91343,           0.0061037,           0.0019465,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.016661,           0.0081682,                   0,             0.99738,                   1,               0.995,             0.91033,           0.0057526,           0.0020498,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.017056,           0.0079922,                   0,             0.99589,                   1,               0.995,               0.921,           0.0047395,           0.0019664,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.016255,           0.0082851,                   0,             0.99906,                   1,               0.995,             0.92492,           0.0058451,           0.0021037,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016344,           0.0081024,                   0,             0.99601,             0.97436,              0.9945,             0.90339,           0.0062085,           0.0021337,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.014937,           0.0083625,                   0,             0.99835,                   1,               0.995,             0.91577,           0.0056441,            0.001994,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.014755,           0.0081704,                   0,              0.9944,                   1,               0.995,             0.90974,           0.0050793,           0.0020583,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017326,           0.0077044,                   0,             0.99902,                   1,               0.995,             0.93887,           0.0052117,            0.001922,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.013959,           0.0080195,                   0,             0.99732,                   1,               0.995,              0.9338,           0.0057395,           0.0020717,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.014924,           0.0080749,                   0,             0.99801,                   1,               0.995,             0.92883,           0.0048316,           0.0019308,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0167,           0.0075477,                   0,             0.99922,                   1,               0.995,             0.91515,            0.005494,           0.0019855,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.015792,           0.0081114,                   0,             0.99658,                   1,               0.995,             0.93229,            0.005419,           0.0020592,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.01516,           0.0075559,                   0,             0.99812,                   1,               0.995,             0.90267,             0.00554,           0.0021213,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.014441,           0.0073683,                   0,             0.99843,                   1,               0.995,             0.93696,           0.0049985,           0.0019302,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.014349,           0.0078035,                   0,             0.99807,                   1,               0.995,             0.94058,           0.0046282,           0.0018883,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014497,           0.0080944,                   0,             0.99431,                   1,               0.995,             0.89894,           0.0062836,           0.0022087,                   0,             0.00307,             0.00307,             0.00307
